TIMESTAMP,PROTO_OPEN_PRICE_USD,PROTO_HIGH_PRICE_USD,PROTO_LOW_PRICE_USD,PROTO_CLOSE_PRICE_USD,PROTO_VOLUME_USD,PROTO_DIVIDENDS_USD,PROTO_STOCK_SPLITS_USD
2024-03-30 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.899999865097925e-05,3.899999865097925e-05,106,0.0,0.0
2024-03-31 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.899999865097925e-05,4.099999932805076e-05,154,0.0,0.0
2024-04-01 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,3.899999865097925e-05,3.899999865097925e-05,64,0.0,0.0
2024-04-02 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.7000001611886546e-05,3.7000001611886546e-05,20,0.0,0.0
2024-04-03 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.5000000934815034e-05,3.5000000934815034e-05,19,0.0,0.0
2024-04-04 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,4,0.0,0.0
2024-04-05 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.300000025774352e-05,3.400000059627928e-05,61,0.0,0.0
2024-04-06 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,3.400000059627928e-05,3.5000000934815034e-05,50,0.0,0.0
2024-04-07 00:00:00+00:00,3.5000000934815034e-05,3.899999865097925e-05,3.5000000934815034e-05,3.7000001611886546e-05,55,0.0,0.0
2024-04-08 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.7000001611886546e-05,3.899999865097925e-05,103,0.0,0.0
2024-04-09 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.899999865097925e-05,4.3000000005122274e-05,52,0.0,0.0
2024-04-10 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,4.099999932805076e-05,4.199999966658652e-05,138,0.0,0.0
2024-04-11 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.7999998312443495e-05,3.899999865097925e-05,48,0.0,0.0
2024-04-12 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,54,0.0,0.0
2024-04-13 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,90,0.0,0.0
2024-04-14 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.9999999242136255e-05,33,0.0,0.0
2024-04-15 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.8000000384054147e-05,2.8000000384054147e-05,48,0.0,0.0
2024-04-16 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9999999242136255e-05,45,0.0,0.0
2024-04-17 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,3,0.0,0.0
2024-04-18 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9000000722589903e-05,14,0.0,0.0
2024-04-19 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,3.099999958067201e-05,143,0.0,0.0
2024-04-20 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,3.099999958067201e-05,3.300000025774352e-05,88,0.0,0.0
2024-04-21 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.400000059627928e-05,8,0.0,0.0
2024-04-22 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.300000025774352e-05,3.400000059627928e-05,22,0.0,0.0
2024-04-23 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,6,0.0,0.0
2024-04-24 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,18,0.0,0.0
2024-04-25 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.400000059627928e-05,16,0.0,0.0
2024-04-26 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,41,0.0,0.0
2024-04-27 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,3.199999991920777e-05,32,0.0,0.0
2024-04-28 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,7,0.0,0.0
2024-04-29 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,12,0.0,0.0
2024-04-30 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9000000722589903e-05,2.9000000722589903e-05,24,0.0,0.0
2024-05-01 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,27,0.0,0.0
2024-05-02 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,41,0.0,0.0
2024-05-03 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,4,0.0,0.0
2024-05-04 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,20,0.0,0.0
2024-05-05 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,21,0.0,0.0
2024-05-06 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,4,0.0,0.0
2024-05-07 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,16,0.0,0.0
2024-05-08 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,58,0.0,0.0
2024-05-09 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.9999999242136255e-05,3.199999991920777e-05,11,0.0,0.0
2024-05-10 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,3.199999991920777e-05,33,0.0,0.0
2024-05-11 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.199999991920777e-05,16,0.0,0.0
2024-05-12 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,16,0.0,0.0
2024-05-13 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,69,0.0,0.0
2024-05-14 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,13,0.0,0.0
2024-05-15 00:00:00+00:00,2.9000000722589903e-05,3.199999991920777e-05,2.9000000722589903e-05,3.199999991920777e-05,28,0.0,0.0
2024-05-16 00:00:00+00:00,3.199999991920777e-05,3.600000127335079e-05,3.199999991920777e-05,3.5000000934815034e-05,56,0.0,0.0
2024-05-17 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,3.5000000934815034e-05,3.600000127335079e-05,187,0.0,0.0
2024-05-18 00:00:00+00:00,3.600000127335079e-05,3.9999998989515007e-05,3.600000127335079e-05,3.9999998989515007e-05,150,0.0,0.0
2024-05-19 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7000001611886546e-05,174,0.0,0.0
2024-05-20 00:00:00+00:00,3.7000001611886546e-05,4.099999932805076e-05,3.7000001611886546e-05,3.7999998312443495e-05,147,0.0,0.0
2024-05-21 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.7999998312443495e-05,3.899999865097925e-05,18,0.0,0.0
2024-05-22 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,16,0.0,0.0
2024-05-23 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.600000127335079e-05,3.600000127335079e-05,24,0.0,0.0
2024-05-24 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.400000059627928e-05,3.5000000934815034e-05,23,0.0,0.0
2024-05-25 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,0,0.0,0.0
2024-05-26 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.400000059627928e-05,3.400000059627928e-05,10,0.0,0.0
2024-05-27 00:00:00+00:00,3.400000059627928e-05,3.600000127335079e-05,3.400000059627928e-05,3.600000127335079e-05,12,0.0,0.0
2024-05-28 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.400000059627928e-05,3.400000059627928e-05,25,0.0,0.0
2024-05-29 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,3.400000059627928e-05,3.400000059627928e-05,135,0.0,0.0
2024-05-30 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.300000025774352e-05,3.300000025774352e-05,45,0.0,0.0
2024-05-31 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.400000059627928e-05,24,0.0,0.0
2024-06-01 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.300000025774352e-05,3.300000025774352e-05,15,0.0,0.0
2024-06-02 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.300000025774352e-05,20,0.0,0.0
2024-06-03 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.400000059627928e-05,10,0.0,0.0
2024-06-04 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,3.400000059627928e-05,3.5000000934815034e-05,40,0.0,0.0
2024-06-05 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,3.5000000934815034e-05,3.5000000934815034e-05,209,0.0,0.0
2024-06-06 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.400000059627928e-05,3.5000000934815034e-05,13,0.0,0.0
2024-06-07 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.9000000722589903e-05,2.9999999242136255e-05,203,0.0,0.0
2024-06-08 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,56,0.0,0.0
2024-06-09 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,56,0.0,0.0
2024-06-10 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,13,0.0,0.0
2024-06-11 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,157,0.0,0.0
2024-06-12 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9999999242136255e-05,76,0.0,0.0
2024-06-13 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,30,0.0,0.0
2024-06-14 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,37,0.0,0.0
2024-06-15 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,1,0.0,0.0
2024-06-16 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,5,0.0,0.0
2024-06-17 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05,38,0.0,0.0
2024-06-18 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.2000000171829015e-05,91,0.0,0.0
2024-06-19 00:00:00+00:00,2.2000000171829015e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,53,0.0,0.0
2024-06-20 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,5,0.0,0.0
2024-06-21 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,14,0.0,0.0
2024-06-22 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,26,0.0,0.0
2024-06-23 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,28,0.0,0.0
2024-06-24 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,59,0.0,0.0
2024-06-25 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,27,0.0,0.0
2024-06-26 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,21,0.0,0.0
2024-06-27 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,16,0.0,0.0
2024-06-28 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,20,0.0,0.0
2024-06-29 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,8,0.0,0.0
2024-06-30 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,10,0.0,0.0
2024-07-01 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,8,0.0,0.0
2024-07-02 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,79,0.0,0.0
2024-07-03 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.300000051036477e-05,2.300000051036477e-05,55,0.0,0.0
2024-07-04 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,18,0.0,0.0
2024-07-05 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,19,0.0,0.0
2024-07-06 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,3,0.0,0.0
2024-07-07 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,4,0.0,0.0
2024-07-08 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.8999999156221747e-05,2.099999983329326e-05,65,0.0,0.0
2024-07-09 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,6,0.0,0.0
2024-07-10 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,5,0.0,0.0
2024-07-11 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,1,0.0,0.0
2024-07-12 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,2,0.0,0.0
2024-07-13 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,11,0.0,0.0
2024-07-14 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,4,0.0,0.0
2024-07-15 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,28,0.0,0.0
2024-07-16 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,16,0.0,0.0
2024-07-17 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,1,0.0,0.0
2024-07-18 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,2,0.0,0.0
2024-07-19 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,86,0.0,0.0
2024-07-20 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,2,0.0,0.0
2024-07-21 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,0,0.0,0.0
2024-07-22 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,3,0.0,0.0
2024-07-23 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,6,0.0,0.0
2024-07-24 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,6,0.0,0.0
2024-07-25 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.099999983329326e-05,2.2000000171829015e-05,25,0.0,0.0
2024-07-26 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,31,0.0,0.0
2024-07-27 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,261,0.0,0.0
2024-07-28 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,0,0.0,0.0
2024-07-29 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,0,0.0,0.0
2024-07-30 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,40,0.0,0.0
2024-07-31 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,45,0.0,0.0
2024-08-01 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,8,0.0,0.0
2024-08-02 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,9,0.0,0.0
2024-08-03 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,13,0.0,0.0
2024-08-04 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,9,0.0,0.0
2024-08-05 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4000000192027073e-05,23,0.0,0.0
2024-08-06 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,7,0.0,0.0
2024-08-07 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,2,0.0,0.0
2024-08-08 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.5999999959603883e-05,22,0.0,0.0
2024-08-09 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,7,0.0,0.0
2024-08-10 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,67,0.0,0.0
2024-08-11 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,21,0.0,0.0
2024-08-12 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,63,0.0,0.0
2024-08-13 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,5,0.0,0.0
2024-08-14 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,6,0.0,0.0
2024-08-15 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,2,0.0,0.0
2024-08-16 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,4,0.0,0.0
2024-08-17 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,60,0.0,0.0
2024-08-18 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,3,0.0,0.0
2024-08-19 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,12,0.0,0.0
2024-08-20 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,11,0.0,0.0
2024-08-21 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.8000000636675395e-05,2.099999983329326e-05,12,0.0,0.0
2024-08-22 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,57,0.0,0.0
2024-08-23 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,25,0.0,0.0
2024-08-24 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,20,0.0,0.0
2024-08-25 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,69,0.0,0.0
2024-08-26 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,47,0.0,0.0
2024-08-27 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,32,0.0,0.0
2024-08-28 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,87,0.0,0.0
2024-08-29 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,9,0.0,0.0
2024-08-30 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,9,0.0,0.0
2024-08-31 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,6,0.0,0.0
2024-09-01 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,2,0.0,0.0
2024-09-02 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,21,0.0,0.0
2024-09-03 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,22,0.0,0.0
2024-09-04 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,24,0.0,0.0
2024-09-05 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,16,0.0,0.0
2024-09-06 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,9,0.0,0.0
2024-09-07 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,5,0.0,0.0
2024-09-08 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,3,0.0,0.0
2024-09-09 00:00:00+00:00,1.700000029813964e-05,2.099999983329326e-05,1.700000029813964e-05,2.099999983329326e-05,20,0.0,0.0
2024-09-10 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,21,0.0,0.0
2024-09-11 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,1,0.0,0.0
2024-09-12 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,1,0.0,0.0
2024-09-13 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,1,0.0,0.0
2024-09-14 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,16,0.0,0.0
2024-09-15 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.2000000171829015e-05,7,0.0,0.0
2024-09-16 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,16,0.0,0.0
2024-09-17 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.4000000848900527e-05,5,0.0,0.0
2024-09-18 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.4000000848900527e-05,2.700000004551839e-05,17,0.0,0.0
2024-09-19 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,12,0.0,0.0
2024-09-20 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,11,0.0,0.0
2024-09-21 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.8000000384054147e-05,78,0.0,0.0
2024-09-22 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,2,0.0,0.0
2024-09-23 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,6,0.0,0.0
2024-09-24 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,7,0.0,0.0
2024-09-25 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,4,0.0,0.0
2024-09-26 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.700000004551839e-05,2.8000000384054147e-05,31,0.0,0.0
2024-09-27 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,14,0.0,0.0
2024-09-28 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,2,0.0,0.0
2024-09-29 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,24,0.0,0.0
2024-09-30 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,30,0.0,0.0
2024-10-01 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,71,0.0,0.0
2024-10-02 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,22,0.0,0.0
2024-10-03 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,14,0.0,0.0
2024-10-04 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,22,0.0,0.0
